id,name,blood_status,hair_color,eye_color,patronus,wand,occupation,loyalty,house
0,Seamus Finnigan,Half-blood,Sandy,None,Fox,"Unknown length, wood and core",None,"[""Dumbledore's Army"", 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor', 'Finnigan family', 'Irish National Quidditch team', 'Kenmare Kestrels']",Gryffindors
1,Hermione Jean Granger,Muggle-born,Brown,Brown,Otter,"['10¾"", vine wood, dragon heartstring', '12¾"", walnut, dragon heartstring (temporarily)']","['Department for the Regulation and Control of Magical Creatures employee (formerly)', 'Deputy Head of the Department of Magical Law Enforcement (formerly)', 'Minister for Magic']","['Granger family', 'Weasley family', 'Potter family', ""Hogwarts School of Witchcraft and WizardryGryffindorTrioDumbledore's ArmySlug Club"", 'GryffindorTrio', 'Trio', ""Dumbledore's Army"", 'Slug Club', 'S.P.E.W.', 'Order of the Phoenix', 'British Ministry of MagicDepartment for the Regulation and Control of Magical CreaturesDepartment of Magical Law Enforcement', 'Department for the Regulation and Control of Magical Creatures', 'Department of Magical Law Enforcement']",Gryffindors
2,Patricia Rakepick,None,Red,Blue,Lioness,"Unknown length, wood and core","['Head Curse-Breaker at Gringotts Wizarding Bank (? -1988)', 'Professor of Defence Against the Dark Arts at Hogwarts School of Witchcraft and Wizardry (1988-1989)']","['Hogwarts School of Witchcraft and Wizardry (formerly)Gryffindor', 'Gryffindor', 'Gringotts Wizarding Bank (formerly)', 'The Cabal']",Gryffindors
3,Demelza Robins,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardryGryffindorGryffindor Quidditch team', 'Gryffindor', 'Gryffindor Quidditch team']",Gryffindors
4,Lily Luna Potter,Half-blood,Red,None,None,None,None,"['Potter family', 'Weasley family', 'Prewett family', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor']",Gryffindors
5,Lily J. Potter (née Evans),Muggle-born,Auburn,Bright green,Doe,"10¼"", Willow, unknown core",None,"['Evans family', 'Potter family', 'Hogwarts School of Witchcraft and WizardryGryffindorSlug Club', 'Gryffindor', 'Slug Club', 'Order of the Phoenix']",Gryffindors
6,James Sirius Potter,Half-blood,None,None,None,None,None,"['Potter family', 'Weasley family', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor']",Gryffindors
7,Fleamont Potter,Pure-blood,None,None,None,None,Potioneer,"['Potter family', 'Peverell family', 'Fleamont family', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor']",Gryffindors
8,James Potter I,Pure-blood,Jet-black,Hazel,Stag,"11"", Mahogany, unknown core",None,"['Potter family', 'Evans family', 'Hogwarts School of Witchcraft and WizardryMaraudersGryffindorGryffindor Quidditch team', 'Marauders', 'Gryffindor', 'Gryffindor Quidditch team', 'Order of the Phoenix']",Gryffindors
9,Harry James Potter,Half-blood,Jet-black,Emerald green,Stag,"['11"", Holly, phoenix feather', '10¾"", Vine, dragon heartstring (temporarily)', '10"", Blackthorn, unknown core (temporarily)', '10"", Hawthorn, unicorn hair (temporarily)', '15"", Elder, thestral hair (temporarily)']","['Head of Auror Office (formerly)', 'Guest lecturer on Defence Against the Dark Arts', 'Head of the Department of Magical Law Enforcement']","['Potter family', 'Weasley family', 'Albus Dumbledore', ""Dumbledore's Army"", 'Order of the Phoenix', 'Hogwarts School of Witchcraft and WizardryGryffindorGryffindor Quidditch teamSlug ClubPotions Club', 'Gryffindor', 'Gryffindor Quidditch team', 'Slug Club', 'Potions Club', 'British Ministry of MagicAuror OfficeDepartment of Magical Law Enforcement', 'Auror Office', 'Department of Magical Law Enforcement', 'S.P.E.W.']",Gryffindors
10,Oliver Wood,Pure-blood or Half-blood,None,None,None,"Unknown length, wood and core",Reserve Keeper for Puddlemere United,"['Hogwarts School of Witchcraft and WizardryGryffindorGryffindor Quidditch team', 'Gryffindor', 'Gryffindor Quidditch team', 'Puddlemere United', 'Order of the Phoenix (during the Battle of Hogwarts)', ""Dumbledore's Army (during the Battle of Hogwarts""]",Gryffindors
11,Nigel Wolpert,Pure-blood or Half-blood,Strawberry blond,Blue,None,"Unknown length, wood and core",None,"['Wolpert family', 'Harry Potter', 'Albus Dumbledore', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor', ""Dumbledore's Army""]",Gryffindors
12,William Arthur Weasley,Pure-blood,"Red, long",None,Non-corporeal,"Unknown length, wood and core",Curse-Breaker for Gringotts Bank,"['Weasley family', 'Prewett family', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor', 'Order of the Phoenix', 'Gringotts Wizarding Bank', 'Delacour family', 'Circle of Khanna']",Gryffindors
13,Ronald Bilius Weasley,Pure-blood,Red,Blue,Jack Russell terrier,"['12"", Ash, unicorn tail hair', '14"", Willow, unicorn tail hair', '9¼"", Chestnut, Dragon heartstring']","['Auror (formerly)', ""Weasleys' Wizard Wheezes co-manager""]","['Weasley family', 'Granger family', 'Prewett family', 'Potter family', ""Dumbledore's Army"", 'Order of the Phoenix', 'British Ministry of MagicAuror Department', 'Auror Department', 'Hogwarts School of Witchcraft and WizardryGryffindorGryffindor Quidditch team', 'Gryffindor', 'Gryffindor Quidditch team', 'S.P.E.W.', ""Weasleys' Wizard Wheezes"", 'Chudley Cannons']",Gryffindors
14,Percy Ignatius Weasley,Pure-blood,"Red, greying and balding (as of 2014)",None,Non-corporeal,"Unknown length, wood and core","['Personal assistant to Barty Crouch Snr (formerly)', 'Court Scribe (formerly)', 'Junior Assistant to the Minister for Magic (formerly)', 'Head of the Department of Magical Transportation']","['Weasley family', 'Prewett family', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor', 'British Ministry of MagicDepartment of International Magical Cooperation  (formerly)Department of Magical Transportation', 'Department of International Magical Cooperation  (formerly)', 'Department of Magical Transportation']",Gryffindors
15,Molly Weasley (née Prewett),Pure-blood,Red,Hazel,Non-corporeal,"Unknown length, wood and core",None,"['Weasley family', 'Prewett family', 'Potter family', 'Order of the Phoenix', 'Hogwarts School of Witchcraft and WizardryGryffindor', 'Gryffindor']",Gryffindors
16,Ruth Winikus,None,None,None,None,None,None,None,Gryffindors
17,George Weasley,Pure-blood,Red,None,Magpie,"Unknown length, wood and core",Co-Owner of Weasleys' Wizard Wheezes,"['Circle of Khanna', ""Dumbledore's Army"", 'Order of the Phoenix', 'Hogwarts School of Witchcraft and WizardryGryffindorGryffindor Quidditch team', 'Gryffindor', 'Gryffindor Quidditch team', 'Weasley family', 'Prewett family', ""Weasleys' Wizard Wheezes""]",Gryffindors
